2025-05-03 14:15:32.024 [http-nio-5001-exec-3] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@1aaa590b]
2025-05-03 14:15:49.546 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:49.555 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:16:13.653 [http-nio-5001-exec-4] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@7f0b427d]
2025-05-03 14:16:13.723 [http-nio-5001-exec-4] DEBUG c.u.m.controller.AuthController - Method signin executed in 70 ms
2025-05-03 14:16:13.757 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:13.762 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:16:13.855 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:13.911 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 56 ms
2025-05-03 14:16:13.929 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:13.937 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:16:14.028 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:14.037 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:16:14.051 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:14.059 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:16:14.078 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:14.089 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:16:14.105 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:16:14.116 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:24:39.379 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.386 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:24:39.397 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.403 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:24:39.804 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.812 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:24:39.830 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.838 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:24:39.858 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.868 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:24:39.886 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.893 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:24:39.904 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.910 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 6 ms
2025-05-03 14:24:39.920 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:24:39.925 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 5 ms
2025-05-03 14:29:47.027 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:47.034 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:29:49.497 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.505 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 8 ms
2025-05-03 14:29:49.521 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.530 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:29:49.780 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.789 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:29:49.810 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.822 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 12 ms
2025-05-03 14:29:49.840 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.851 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:29:49.869 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.877 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 8 ms
2025-05-03 14:29:49.889 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.896 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:29:49.906 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:29:49.917 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 11 ms
2025-05-03 14:31:05.011 [http-nio-5001-exec-3] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:05.016 [http-nio-5001-exec-3] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 5 ms
2025-05-03 14:31:08.174 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.183 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:31:08.195 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.202 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 7 ms
2025-05-03 14:31:08.424 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.434 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 10 ms
2025-05-03 14:31:08.453 [http-nio-5001-exec-7] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.466 [http-nio-5001-exec-7] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 13 ms
2025-05-03 14:31:08.484 [http-nio-5001-exec-8] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.493 [http-nio-5001-exec-8] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 9 ms
2025-05-03 14:31:08.505 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.512 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 7 ms
2025-05-03 14:31:08.522 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.527 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 5 ms
2025-05-03 14:31:08.539 [http-nio-5001-exec-1] INFO  c.u.m.controller.UserController - Method: findAllUsers - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
2025-05-03 14:31:08.544 [http-nio-5001-exec-1] DEBUG c.u.m.controller.UserController - Method findAllUsers executed in 5 ms
2025-05-03 14:31:20.005 [http-nio-5001-exec-2] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5NzMsImV4cCI6MTc0NjM0ODM3MywiZW1haWwiOiJ0ZXN0YWRtaW4yQGV4YW1wbGUuY29tIiwiYXV0aG9yaXRpZXMiOiJST0xFX0FETUlOIn0.Zxww-3ne5F_iJ_A5d3TqLPWtzaOAf0UsKIAFhIno2LNiLfbIzDyrI3xjIwiga_zn]
